"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2017","4,350.5","3,925.0","4,533.0","3,925.0","324.48M","12.05%"
"Feb 01, 2017","4,181.0","4,325.0","4,488.0","4,181.0","283.33M","-3.90%"
"Mar 01, 2017","3,931.0","4,217.0","4,355.0","3,918.5","241.00M","-5.98%"
"Apr 01, 2017","4,221.0","3,955.0","4,237.5","3,747.0","239.53M","7.38%"
"May 01, 2017","4,501.5","4,215.0","4,542.0","4,108.0","284.55M","6.65%"
"Jun 01, 2017","4,548.5","4,512.5","4,760.5","4,394.0","368.89M","1.04%"
"Jul 01, 2017","4,479.0","4,565.0","4,718.0","4,400.5","205.75M","-1.53%"
"Aug 01, 2017","4,461.0","4,400.0","4,536.5","4,293.5","202.42M","-0.40%"
"Sep 01, 2017","4,542.0","4,497.5","4,644.5","4,211.5","212.44M","1.82%"
"Oct 01, 2017","4,973.5","4,550.0","5,275.0","4,534.0","267.03M","9.50%"
"Nov 01, 2017","4,742.5","5,020.0","5,135.0","4,655.0","261.65M","-4.64%"
"Dec 01, 2017","4,460.0","4,788.0","4,805.5","4,437.0","192.81M","-5.96%"
"Jan 01, 2018","4,490.0","4,610.0","4,779.5","4,467.0","212.06M","0.67%"
"Feb 01, 2018","4,447.5","4,514.0","4,594.5","4,029.5","257.19M","-0.95%"
"Mar 01, 2018","3,975.0","4,386.5","4,428.0","3,879.0","215.13M","-10.62%"
"Apr 01, 2018","4,250.5","3,957.5","4,293.0","3,773.0","195.10M","6.93%"
"May 01, 2018","3,882.5","4,225.5","4,352.5","3,770.0","177.32M","-8.66%"
"Jun 01, 2018","3,986.5","3,879.5","4,344.5","3,858.5","223.16M","2.68%"
"Jul 01, 2018","4,630.0","3,980.0","4,954.5","3,980.0","338.30M","16.14%"
"Aug 01, 2018","5,150.0","4,695.0","5,300.0","4,595.5","290.12M","11.23%"
"Sep 01, 2018","5,735.0","5,125.0","5,750.0","4,858.5","216.53M","11.36%"
"Oct 01, 2018","4,524.0","5,690.0","5,750.0","4,172.5","459.42M","-21.12%"
"Nov 01, 2018","4,763.0","4,324.0","4,811.5","4,112.0","406.56M","5.28%"
"Dec 01, 2018","3,652.5","4,860.0","4,890.0","3,401.5","397.51M","-23.32%"
"Jan 01, 2019","4,263.0","3,502.5","4,281.0","3,433.5","284.19M","16.71%"
"Feb 01, 2019","5,140.0","4,250.0","5,517.5","4,179.0","473.96M","20.57%"
"Mar 01, 2019","5,372.5","5,150.0","5,677.5","5,135.0","250.43M","4.52%"
"Apr 01, 2019","5,777.5","5,490.0","6,045.0","5,342.5","269.54M","7.54%"
"May 01, 2019","5,125.0","5,935.0","6,012.5","4,945.0","264.88M","-11.29%"
"Jun 01, 2019","5,165.0","4,971.5","5,320.0","4,644.0","254.32M","0.78%"
"Jul 01, 2019","5,628.0","5,278.0","5,886.0","4,935.0","248.18M","8.96%"
"Aug 01, 2019","4,824.0","5,590.0","5,713.0","4,532.0","282.65M","-14.29%"
"Sep 01, 2019","4,240.0","4,777.0","4,850.0","4,197.0","272.00M","-12.11%"
